fk_codigo_Filial,CodigoTransacao,DataTransacao
1,297347,27/10/2022
1,216587,15/04/2022
1,290770,10/10/2022
1,281225,16/09/2022
1,298776,01/11/2022
1,256058,18/07/2022
1,349064,23/02/2023
1,260697,26/07/2022
1,314942,01/12/2022
1,324584,22/12/2022
1,316878,06/12/2022
1,316482,06/12/2022
1,152487,19/10/2021
1,204580,16/03/2022
1,280405,14/09/2022
1,294228,18/10/2022
1,293832,18/10/2022
1,190578,04/02/2022
1,192327,09/02/2022
1,227465,10/05/2022
1,288460,04/10/2022
1,303808,14/11/2022
1,298672,01/11/2022
1,332525,16/01/2023
1,335094,20/01/2023
1,177329,28/12/2021
1,283539,22/09/2022
1,283143,22/09/2022
1,149611,13/10/2021
1,244160,18/06/2022
1,153505,21/10/2021
1,313130,28/11/2022
1,286931,29/09/2022
1,339203,31/01/2023
1,183119,13/01/2022
1,287551,03/10/2022
1,292066,13/10/2022
1,204446,15/03/2022
1,204050,15/03/2022
1,332817,16/01/2023
1,298500,31/10/2022
1,180266,06/01/2022
1,149507,13/10/2021
1,176332,23/12/2021
1,257603,21/07/2022
1,242027,14/06/2022
1,257999,21/07/2022
1,286827,29/09/2022
1,152419,19/10/2021
1,210585,29/03/2022
1,318608,09/12/2022
1,292358,13/10/2022
1,313579,29/11/2022
1,319730,13/12/2022
1,195734,18/02/2022
1,236796,31/05/2022
1,207100,21/03/2022
1,248077,27/06/2022
1,247007,24/06/2022
1,247681,27/06/2022
1,184272,18/01/2022
1,213258,05/04/2022
1,283075,22/09/2022
1,284221,24/09/2022
1,165781,25/11/2021
1,313871,29/11/2022
1,141539,15/09/2021
1,348228,22/02/2023
1,237076,01/06/2022
1,162018,16/11/2021
1,144173,23/09/2021
1,328382,04/01/2023
1,185311,21/01/2022
1,321314,15/12/2022
1,225382,05/05/2022
1,250720,05/07/2022
1,332749,16/01/2023
1,142069,16/09/2021
1,159409,08/11/2021
1,283367,22/09/2022
1,180198,06/01/2022
1,216059,13/04/2022
1,166073,25/11/2021
1,307996,21/11/2022
1,338876,30/01/2023
1,307600,21/11/2022
1,209556,25/03/2022
1,295159,20/10/2022
1,209160,25/03/2022
1,344050,10/02/2023
1,176264,23/12/2021
1,160987,11/11/2021
1,193920,14/02/2022
1,269844,20/08/2022
1,295333,21/10/2022
1,141831,15/09/2021
1,348520,22/02/2023
1,291357,12/10/2022
1,237368,01/06/2022
1,156041,26/10/2021
1,195666,18/02/2022
1,233627,23/05/2022
1,180490,06/01/2022
1,242868,15/06/2022
1,252357,07/07/2022
1,303051,10/11/2022
1,328139,03/01/2023
1,344342,10/02/2023
1,209452,25/03/2022
1,158604,04/11/2021
1,270136,20/08/2022
1,241784,13/06/2022
1,304529,15/11/2022
1,296276,25/10/2022
1,145421,28/09/2021
1,250538,04/07/2022
1,250142,04/07/2022
1,233919,23/05/2022
1,247231,24/06/2022
1,184769,19/01/2022
1,315428,02/12/2022
1,180648,07/01/2022
1,214630,10/04/2022
1,183219,14/01/2022
1,340327,02/02/2023
1,345701,14/02/2023
1,305436,16/11/2022
1,215991,13/04/2022
1,338808,30/01/2023
1,304821,15/11/2022
1,293394,17/10/2022
1,323675,21/12/2022
1,218751,20/04/2022
1,310275,23/11/2022
1,263976,04/08/2022
1,140872,14/09/2021
1,331111,11/01/2023
1,160422,10/11/2021
1,191552,08/02/2022
1,347880,21/02/2023
1,346742,16/02/2023
1,279365,12/09/2022
1,278969,12/09/2022
1,334617,19/01/2023
1,269692,19/08/2022
1,346069,15/02/2023
1,288723,05/10/2022
1,214136,07/04/2022
1,344274,10/02/2023
1,209384,25/03/2022
1,219905,23/04/2022
1,147882,07/10/2021
1,183661,17/01/2022
1,308480,22/11/2022
1,147515,06/10/2021
1,175168,21/12/2021
1,310963,23/11/2022
1,310567,23/11/2022
1,174993,20/12/2021
1,259891,25/07/2022
1,259495,25/07/2022
1,296208,25/10/2022
